id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_scree-1i-1g_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,violent_recid,is_violent_recid,vr_charge_degree,type_of_assessment,v_type_of_assessment,start,end,event,two_year_recid,score_text
3206,Male,38,25-45,African-American,0,0,0,9,-5,4,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,232,0,0,High
3207,Male,61,Greater_than_45,Other,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,996,0,0,Low
3208,Female,30,25-45,African-American,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,810,0,0,Low
3209,Male,22,Less_than_25,African-American,0,0,0,3,-1,1,F,1,(M1),0,N,1,(F3),Risk of Recidivism,Risk of Violence,127,881,1,0,High
3212,Male,25,25-45,African-American,0,0,0,0,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,1,158,1,1,High
3214,Female,30,25-45,Hispanic,0,0,0,3,-1,1,M,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,244,1,1,Low
3215,Male,52,Greater_than_45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,867,0,0,Low
3217,Male,26,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,739,0,0,Low
3218,Male,26,25-45,Other,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,748,0,0,Low
3222,Male,29,25-45,African-American,0,1,0,6,-55,55,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,301,0,0,High
3223,Male,45,Greater_than_45,Caucasian,0,0,0,9,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,54,277,0,1,High
3225,Male,20,Less_than_25,African-American,0,0,0,0,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,66,1,1,High
3226,Male,29,25-45,African-American,0,0,0,4,-1,2,F,1,(F3),49,N,1,(F3),Risk of Recidivism,Risk of Violence,79,657,0,0,High
3227,Male,43,25-45,Caucasian,0,0,0,1,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,68,118,1,1,High
3229,Male,26,25-45,Caucasian,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1147,0,0,High
3230,Female,46,Greater_than_45,African-American,0,0,0,4,-1,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,815,0,0,Low
3232,Female,46,Greater_than_45,African-American,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,741,0,0,Low
3234,Male,39,25-45,Caucasian,0,0,0,8,-56,56,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1107,0,0,Low
3236,Male,29,25-45,African-American,0,0,0,12,-1,1,F,1,(M2),-1,N,1,(F2),Risk of Recidivism,Risk of Violence,5,38,0,1,High
3237,Male,41,25-45,Caucasian,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,850,0,0,Low
3238,Male,29,25-45,African-American,0,0,1,11,-65,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,705,1,1,High
3240,Female,25,25-45,African-American,0,0,0,5,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,35,0,0,High
3242,Male,23,Less_than_25,African-American,1,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,17,753,0,0,High
3243,Female,46,Greater_than_45,African-American,0,0,0,1,51,245,F,1,(F2),21,N,0,N,Risk of Recidivism,Risk of Violence,0,30,1,1,High
3246,Male,30,25-45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,863,0,0,Low
3247,Male,34,25-45,Caucasian,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,1071,0,0,High
3248,Male,70,Greater_than_45,Caucasian,0,0,0,11,-13,13,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,645,1,1,Low
3250,Male,52,Greater_than_45,Caucasian,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,843,0,0,Low
3255,Male,51,Greater_than_45,African-American,0,0,0,4,-26,26,M,1,(M2),1,N,0,N,Risk of Recidivism,Risk of Violence,0,779,1,0,Low
3259,Female,45,Greater_than_45,Native_American,0,0,0,15,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,6,0,1,High
3260,Male,55,Greater_than_45,African-American,0,0,0,21,0,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,85,101,1,1,High
3261,Female,49,Greater_than_45,Caucasian,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,934,0,0,Low
3262,Female,26,25-45,African-American,0,0,0,9,404,13,M,1,(M1),0,N,1,(M1),Risk of Recidivism,Risk of Violence,0,404,1,1,High
3265,Female,47,Greater_than_45,Caucasian,0,0,0,0,0,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1069,0,0,Low
3267,Male,27,25-45,African-American,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,972,0,0,Low
3268,Male,25,25-45,Caucasian,0,2,0,5,-3,3,M,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,0,634,0,1,High
3270,Male,21,Less_than_25,African-American,0,1,0,1,0,0,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,59,59,1,1,High
3272,Male,37,25-45,African-American,0,0,1,26,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,1,104,1,1,High
3273,Male,21,Less_than_25,African-American,0,0,0,1,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,48,195,1,1,High
3274,Male,21,Less_than_25,African-American,0,0,0,0,-2,2,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1016,0,0,High
3278,Male,25,25-45,African-American,0,0,0,4,0,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,426,0,1,High
3280,Female,27,25-45,African-American,0,0,0,3,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,33,1,1,High
3281,Male,30,25-45,Caucasian,0,0,0,3,-1,1,F,1,(M2),0,N,1,(F3),Risk of Recidivism,Risk of Violence,11,148,1,1,Low
3283,Male,70,Greater_than_45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,782,0,0,Low
3284,Male,37,25-45,Caucasian,0,0,0,11,-1,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,61,1,1,High
3285,Male,46,Greater_than_45,African-American,0,0,0,5,0,0,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,2,348,1,1,High
3286,Male,40,25-45,Other,0,0,0,4,-1,1,M,1,(M1),280,N,0,N,Risk of Recidivism,Risk of Violence,1,328,1,1,Low
3287,Male,20,Less_than_25,African-American,1,0,0,1,427,123,F,1,(F2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,408,1,1,High
3288,Male,43,25-45,African-American,0,0,0,18,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,8,191,1,1,Low
3289,Male,38,25-45,African-American,0,0,0,15,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,55,594,0,0,High
3290,Male,29,25-45,African-American,0,0,0,0,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1115,0,0,Low
3291,Male,37,25-45,African-American,0,0,0,8,0,0,M,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,1,77,1,1,Low
3292,Male,38,25-45,Hispanic,0,0,0,3,-21,21,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,904,0,0,Low
3293,Female,27,25-45,Caucasian,0,0,0,0,-4,4,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,991,0,0,Low
3294,Female,20,Less_than_25,Other,0,0,0,0,0,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,11,189,1,1,High
3295,Male,44,25-45,Hispanic,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1176,0,0,Low
3298,Male,31,25-45,Caucasian,0,0,0,6,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1161,0,0,High
3299,Male,29,25-45,African-American,0,0,0,3,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,340,1,1,Low
3300,Male,48,Greater_than_45,Caucasian,0,0,0,13,-96,96,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,80,1,1,High
3301,Female,30,25-45,African-American,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,912,0,0,Low
3302,Female,25,25-45,Caucasian,0,0,0,2,-25,25,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,185,1,1,High
3304,Male,40,25-45,African-American,0,0,0,3,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1140,0,0,Low
3305,Female,49,Greater_than_45,Caucasian,0,0,0,3,1025,226,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,1025,1,0,Low
3306,Male,33,25-45,Caucasian,0,0,0,1,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,1118,0,0,Low
3309,Male,26,25-45,Caucasian,0,0,0,5,-1,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,589,1,1,High
3310,Male,31,25-45,Hispanic,0,1,0,1,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,109,0,0,Low
3312,Male,61,Greater_than_45,Caucasian,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1174,0,0,Low
3314,Male,30,25-45,Caucasian,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,939,0,0,Low
3315,Male,62,Greater_than_45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,909,0,0,Low
3316,Female,27,25-45,Caucasian,0,0,0,4,8,13,M,1,(M2),1,N,0,N,Risk of Recidivism,Risk of Violence,0,7,1,1,High
3318,Male,48,Greater_than_45,Caucasian,0,0,0,9,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,549,0,0,High
3319,Female,40,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,828,0,0,Low
3320,Male,24,Less_than_25,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,836,0,0,Low
3322,Male,22,Less_than_25,African-American,0,0,0,0,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,213,1,1,Low
3323,Male,30,25-45,African-American,0,0,0,4,-1,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,15,152,1,1,High
3324,Male,63,Greater_than_45,Caucasian,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1144,0,0,Low
3325,Male,46,Greater_than_45,Hispanic,0,0,0,0,-1,399,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,430,0,0,Low
3326,Male,33,25-45,African-American,0,0,0,4,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,868,0,0,High
3328,Female,21,Less_than_25,African-American,1,0,0,1,81,79,F,1,(M2),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,81,1,1,High
3329,Male,43,25-45,Caucasian,0,0,0,0,-5,5,M,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,31,1,1,Low
3331,Male,26,25-45,African-American,0,0,0,3,0,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,34,684,1,1,High
3332,Male,51,Greater_than_45,African-American,0,0,0,1,-17,17,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,889,0,0,Low
3333,Male,39,25-45,Caucasian,0,0,0,3,-1,1,F,1,(M1),0,N,1,(M1),Risk of Recidivism,Risk of Violence,0,673,1,1,Low
3335,Female,30,25-45,Hispanic,0,0,0,0,-1,1,M,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,371,0,1,Low
3337,Male,32,25-45,African-American,0,0,0,14,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,22,1,1,High
3338,Male,22,Less_than_25,African-American,0,0,0,0,-2,2,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,65,0,0,High
3339,Male,59,Greater_than_45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1134,0,0,Low
3340,Male,38,25-45,African-American,0,5,0,37,-1,1,M,1,(F3),-1,N,1,(F3),Risk of Recidivism,Risk of Violence,30,138,1,1,High
3341,Male,23,Less_than_25,African-American,0,0,0,2,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,238,1052,0,0,High
3342,Male,42,25-45,African-American,0,0,0,0,0,0,M,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,1,645,1,1,Low
3343,Male,20,Less_than_25,African-American,1,0,0,1,-37,37,F,1,(F2),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,59,1,1,Low
3344,Male,38,25-45,African-American,0,0,0,2,0,0,F,1,(F3),1,N,1,(F3),Risk of Recidivism,Risk of Violence,193,292,1,1,High
3345,Female,34,25-45,Caucasian,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1161,0,0,Low
3347,Female,36,25-45,African-American,0,0,0,7,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,1,214,1,1,Low
3348,Male,35,25-45,Caucasian,0,0,0,7,-86,86,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,262,1,1,Low
3349,Male,36,25-45,African-American,0,0,0,0,-1,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,442,1,1,Low
3350,Male,31,25-45,African-American,0,0,0,1,-14,15,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,878,0,0,Low
3351,Female,28,25-45,African-American,0,0,0,3,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,4,103,1,1,Low
3354,Male,28,25-45,African-American,0,0,0,1,0,0,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,550,1,1,Low
3356,Male,60,Greater_than_45,Caucasian,0,0,0,3,-120,120,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,805,0,0,Low
3357,Male,43,25-45,African-American,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,734,0,0,Low
3358,Male,40,25-45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,752,0,0,Low
3359,Male,31,25-45,African-American,0,2,0,15,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,1,52,1,1,High
3360,Male,54,Greater_than_45,African-American,0,0,0,6,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,13,35,1,1,High
3361,Male,26,25-45,African-American,0,0,0,1,-1,624,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,907,0,0,High
3362,Male,24,Less_than_25,African-American,0,0,0,17,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,129,373,1,1,High
3363,Male,41,25-45,Hispanic,0,0,0,0,-3,3,F,1,(M2),99,N,0,N,Risk of Recidivism,Risk of Violence,0,89,1,1,Low
3369,Male,21,Less_than_25,African-American,0,0,1,1,-1,1,F,1,(F3),15,N,0,N,Risk of Recidivism,Risk of Violence,241,279,0,1,High
3370,Female,29,25-45,Hispanic,0,0,0,1,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,291,1,1,Low
3371,Male,22,Less_than_25,African-American,0,0,1,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,953,0,0,Low
3375,Male,52,Greater_than_45,Hispanic,0,0,0,9,-1,1,F,1,(F3),7,N,0,N,Risk of Recidivism,Risk of Violence,33,271,1,1,High
3376,Female,40,25-45,Other,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,838,0,0,Low
3377,Female,37,25-45,Caucasian,0,0,0,0,-1,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,916,0,0,Low
3379,Male,21,Less_than_25,Other,0,0,0,1,982,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,982,0,0,Low
3380,Female,45,Greater_than_45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,5,914,0,0,Low
3381,Male,29,25-45,African-American,0,0,0,1,0,0,M,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,181,0,1,Low
3383,Male,46,Greater_than_45,African-American,0,0,0,10,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,9,609,1,1,High
3384,Male,21,Less_than_25,Caucasian,0,1,2,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,12,631,0,0,High
3385,Male,50,Greater_than_45,African-American,1,0,0,7,-1,1154,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1118,0,0,High
3386,Male,35,25-45,Caucasian,0,0,0,6,-10,10,F,1,(M2),1,N,1,(M2),Risk of Recidivism,Risk of Violence,0,101,1,1,High
3387,Male,52,Greater_than_45,African-American,0,0,0,1,1,2,M,1,(M1),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,1,1,1,Low
3390,Male,48,Greater_than_45,Caucasian,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,471,0,0,Low
3391,Female,29,25-45,African-American,0,0,3,9,-1,1,M,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,32,1,1,High
3392,Male,48,Greater_than_45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1119,0,0,Low
3393,Male,31,25-45,African-American,0,0,0,10,-8,8,F,1,(M2),395,N,0,N,Risk of Recidivism,Risk of Violence,0,249,1,1,High
3394,Male,21,Less_than_25,Caucasian,0,0,0,3,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,10,1,1,High
3395,Male,32,25-45,Other,0,0,0,0,0,0,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,22,142,0,1,Low
3396,Male,47,Greater_than_45,African-American,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,775,0,0,High
3397,Male,62,Greater_than_45,African-American,0,0,0,1,-1,613,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,895,0,0,High
3398,Male,21,Less_than_25,African-American,1,2,2,3,-1,1,F,1,(F3),1,N,0,N,Risk of Recidivism,Risk of Violence,0,132,1,1,High
3399,Male,35,25-45,African-American,3,0,0,13,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,392,0,0,High
3401,Male,46,Greater_than_45,African-American,0,0,0,3,-22,22,M,1,(M2),59,N,0,N,Risk of Recidivism,Risk of Violence,0,30,1,1,Low
3403,Male,34,25-45,African-American,0,0,0,5,-1,1,F,1,(MO3),0,N,0,N,Risk of Recidivism,Risk of Violence,4,341,1,1,Low
3404,Male,52,Greater_than_45,African-American,0,0,0,2,-5,5,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1005,0,0,Low
3405,Female,39,25-45,African-American,0,1,0,7,114,92,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,114,0,0,Low
3406,Male,21,Less_than_25,Caucasian,0,0,0,0,-1,1,M,1,(F3),0,N,1,(M1),Risk of Recidivism,Risk of Violence,8,65,1,1,High
3407,Male,53,Greater_than_45,Caucasian,0,0,0,1,-2,3,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,781,0,0,Low
3408,Female,19,Less_than_25,Caucasian,0,0,0,0,-1,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,374,1,1,Low
3409,Male,22,Less_than_25,African-American,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,812,0,0,High
3410,Male,45,Greater_than_45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,697,0,0,Low
3411,Female,27,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,813,0,0,Low
3412,Male,25,25-45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,69,0,0,Low
3413,Male,30,25-45,Caucasian,0,0,0,0,0,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,79,1,1,Low
3415,Male,31,25-45,African-American,0,0,0,2,0,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,365,1,1,High
3417,Male,28,25-45,Caucasian,0,0,0,3,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,778,0,0,Low
3418,Male,36,25-45,African-American,0,0,0,3,-1,1,M,1,(M2),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,1,34,1,1,Low
3419,Male,27,25-45,African-American,0,0,0,7,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,9,46,0,1,High
3420,Male,42,25-45,African-American,0,0,0,1,0,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1061,0,0,Low
3422,Male,35,25-45,Caucasian,0,0,0,0,0,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,41,114,1,1,High
3423,Female,33,25-45,Caucasian,0,0,0,2,-29,29,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1082,0,0,Low
3425,Male,24,Less_than_25,Hispanic,1,0,0,6,-1,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,553,749,1,1,High
3426,Male,25,25-45,African-American,0,1,0,21,-14,1,F,1,(F3),141,N,0,N,Risk of Recidivism,Risk of Violence,0,138,0,1,High
3427,Female,42,25-45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,747,0,0,Low
3429,Male,21,Less_than_25,African-American,0,0,0,0,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,3,125,1,1,High
3431,Female,28,25-45,African-American,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1173,0,0,Low
3434,Male,27,25-45,African-American,0,0,0,25,18,50,F,1,(F2),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,18,1,1,High
3437,Female,21,Less_than_25,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,948,0,0,High
3438,Male,26,25-45,Caucasian,0,0,0,0,0,0,M,1,(M2),1,N,0,N,Risk of Recidivism,Risk of Violence,5,168,1,1,High
3439,Male,36,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1132,0,0,Low
3440,Male,23,Less_than_25,African-American,0,0,0,1,237,398,M,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,0,237,0,1,High
3441,Male,49,Greater_than_45,Caucasian,0,0,0,0,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,1,76,0,1,High
3442,Male,29,25-45,African-American,0,0,0,11,-68,69,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,551,1,1,High
3444,Male,44,25-45,Caucasian,0,0,0,0,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,1,711,1,1,Low
3445,Male,28,25-45,Caucasian,0,0,0,1,-25,26,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,910,0,0,Low
3446,Male,27,25-45,African-American,0,0,0,2,530,310,M,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,530,0,1,High
3448,Female,35,25-45,African-American,0,0,0,12,-2,2,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,51,0,1,High
3449,Male,36,25-45,African-American,0,0,0,19,544,217,M,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,544,0,1,High
3451,Male,46,Greater_than_45,Caucasian,0,0,0,2,266,1017,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,266,0,0,Low
3452,Male,34,25-45,African-American,0,0,0,3,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,973,0,0,Low
3453,Male,45,Greater_than_45,African-American,0,0,0,15,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,143,1,1,Low
3454,Male,28,25-45,African-American,0,0,0,9,-1,1,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,15,91,1,1,Low
3455,Female,25,25-45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,3,1131,0,0,Low
3456,Male,21,Less_than_25,African-American,0,1,0,1,0,0,M,1,(F3),1,N,1,(F3),Risk of Recidivism,Risk of Violence,1,748,1,0,High
3457,Male,48,Greater_than_45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,746,0,0,Low
3458,Male,37,25-45,Caucasian,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1161,0,0,Low
3460,Male,24,Less_than_25,African-American,0,0,0,3,-3,3,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,191,1,1,High
3462,Male,37,25-45,Caucasian,0,0,0,1,-1,1,M,1,(M1),1,N,1,(M1),Risk of Recidivism,Risk of Violence,0,507,1,1,Low
3463,Male,39,25-45,Caucasian,0,0,0,1,-3,4,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,137,0,0,Low
3464,Male,24,Less_than_25,Caucasian,0,0,1,1,-1,1,F,1,(F3),721,N,0,N,Risk of Recidivism,Risk of Violence,0,5,1,1,High
3465,Male,49,Greater_than_45,Other,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,917,0,0,Low
3468,Male,35,25-45,African-American,0,0,0,3,-1,1120,F,1,(F3),-1,N,1,(F3),Risk of Recidivism,Risk of Violence,0,607,1,1,High
3470,Male,23,Less_than_25,African-American,0,0,0,1,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,346,1,1,Low
